legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
7,SCALA DEI,PRIORAT,MATCH,92,CONTAINS,763396,B Scala Dei Negre,TINTOS WINERIM,2
21,SENTIUS,PRIORAT,NO_MATCH,67,FUZZY,763620,B Venus,TINTOS WINERIM,0
31,SILVESTRIS,PRIORAT,NO_MATCH,0,,,,,0
28,TERRESTRE,PRIORAT,NO_MATCH,0,,,,,0
480,Tiquet pendent 06/04/22,PRIORAT,NO_MATCH,0,,,,,0
25,VI DE LA VILA PORRERA,PRIORAT,NO_MATCH,65,FUZZY,763415,B Vi de Vila,TINTOS WINERIM,0
188,LALAMA,RIBEIRA SACARA,NO_MATCH,67,FUZZY,764518,B Dalmau,TINTOS WINERIM,0
143,CONDADO DE HAZA,RIBERA DUERO,NO_MATCH,0,,,,,0
133,DEHESA CANONIGO,RIBERA DUERO,NO_MATCH,0,,,,,0
137,EMILIO MORO,RIBERA DUERO,MATCH,100,EXACT,764529,B Emilio Moro,TINTOS WINERIM,0
155,FERRATUS,RIBERA DUERO,MATCH,100,EXACT,764545,B Ferratus,TINTOS WINERIM,0
157,FINCA RESALSO,RIBERA DUERO,MATCH,100,EXACT,764547,B Finca Resalso,TINTOS WINERIM,0
156,FLOR DE PINGUS,RIBERA DUERO,NO_MATCH,0,,,,,0
141,HACIENDA MONASTERIO,RIBERA DUERO,MATCH,92,CONTAINS,764531,B Hacienda Monasterio Reserva,TINTOS WINERIM,2
493,Hito,RIBERA DUERO,MATCH,100,EXACT,765293,B Hito,TINTOS WINERIM,0
142,PAGO DE CARRAOVEJAS,RIBERA DUERO,MATCH,100,EXACT,764532,B Pago de Carraovejas,TINTOS WINERIM,0
152,PAGO DE LOS CAPELLANES,RIBERA DUERO,NO_MATCH,63,FUZZY,764532,B Pago de Carraovejas,TINTOS WINERIM,0
139,PESQUERA CRIANÇA,RIBERA DUERO,MATCH,94,FUZZY,769706,B Pesquera Crianza,TINTOS WINERIM,0
138,PESQUERA RESERVA,RIBERA DUERO,NO_MATCH,69,FUZZY,769706,B Pesquera Crianza,TINTOS WINERIM,0
140,PRELUDIO DE SEI SOLO,RIBERA DUERO,NO_MATCH,0,,,,,0
135,PROTOS CRIANÇA,RIBERA DUERO,MATCH,92,CONTAINS,764527,B Protos,TINTOS WINERIM,0
