provider_product_id,provider_product_name,family_name,family_visible,saleable_as_main,match_status,winerim_id,winerim_name,score,method,reasons
758,Copa Vino Fuera de Carta,VINOS POR COPAS,False,False,NO_MATCH,272852,Añada de Baladiña,14.3,FUZZY,token_similarity
762,Jarra grande Sake Endo Keyriu,SAKE BAR,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,9.1,FUZZY,token_similarity
765,B. MAJUELO DEL CHIVIRITERO,VINOS,False,True,NO_MATCH,272883,Majuelo del Chiviritero La Seca,60.0,FUZZY,token_similarity
770,Tokyo Nigths,COPAS,False,True,NO_MATCH,,,0,,
772,C. ALBARIÑO KOMOKABRAS VERDE,VINOS POR COPAS,False,True,NO_MATCH,,,0,,
773,B. ALBARIÑO KOMOKABRAS VERDE,VINOS,False,True,NO_MATCH,,,0,,
775,C. LA CHABLISIENNE PREMIER CRU FOURCHAME,VINOS POR COPAS,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,20.0,FUZZY,token_similarity
776,C. VOLVER SINGLE VINEYARD,VINOS POR COPAS,False,True,NO_MATCH,277138,Single Vineyard,66.7,FUZZY,token_similarity
780,Copa Vino Blanco Menu,VINOS POR COPAS,False,False,NO_MATCH,277161,Tarima Blanco,20.0,FUZZY,token_similarity
783,B. LAGAR DEL ZAR TINTO DULCE(50 CL.),VINOS,False,True,NO_MATCH,272900,Tintoralba Dulce,12.5,FUZZY,token_similarity
784,LAWSONS DRY HILLS GEWURZTRAMINER,VINOS,False,False,NO_MATCH,277154,Lawson's Dry Hills Gewürztraminer,60.0,FUZZY,token_similarity
785,B. LOUIS ROEDERER 243 COLLECTION,VINOS,False,True,NO_MATCH,277144,Private Collection Chardonnay,16.7,FUZZY,token_similarity
792,B. LOUIS ROEDERER COLLECTION 243 (38CL),VINOS,False,True,NO_MATCH,277144,Private Collection Chardonnay,14.3,FUZZY,token_similarity
793,B. SARMENTERO VENDIMIA SELECCIONADA,VINOS,False,True,MATCH,272893,Sarmentero Vendimia Seleccionada,100.0,FUZZY,token_similarity
794,C. ABAD DOM BUENO ROSÉ,VINOS POR COPAS,False,True,NO_MATCH,277094,Abad Dom Bueno Rosado,60.0,FUZZY,token_similarity
795,C. LAWSONS DRI HILLS GEWURZTRAMINER,VINOS POR COPAS,False,True,NO_MATCH,277154,Lawson's Dry Hills Gewürztraminer,33.3,FUZZY,token_similarity
796,B. CANTAYANO,VINOS,False,True,NO_MATCH,,,0,,
797,B. CHATEAU CRISTI CHARDONNAY,VINOS,False,True,MATCH,275753,Château Cristi Chardonnay,100.0,FUZZY,token_similarity
803,C. MISTELA RAFAEL CAÑIZARES,VINOS POR COPAS,False,True,NO_MATCH,272904,Volver Cuvée Rafael Cañizares,40.0,FUZZY,token_similarity
810,B. ANDRE SCHERER GEWURZTRAMINER GRAND CRU EICHBERG,VINOS,False,True,NO_MATCH,272850,Andre Scherer Alsace Grand Cru 'Eichberg',71.4,FUZZY,token_similarity
813,B. CHAMPAGNE JM GOBILLARD GR. RESERVE 1er Cru,VINOS,False,True,NO_MATCH,272859,J.M. Gobillard & Fils Grande Reserve Brut Premier Cru,27.3,FUZZY,token_similarity
814,B. SEXTO ELEMENTO,VINOS,False,True,NO_MATCH,277238,6º Elemento,50.0,FUZZY,token_similarity
815,B. TRIGA BLANCO,VINOS,False,True,NO_MATCH,272903,Triga,50.0,FUZZY,token_similarity
816,C. SARMENTERO VENDIMIA SELECCIONADA,VINOS POR COPAS,False,True,MATCH,272893,Sarmentero Vendimia Seleccionada,100.0,FUZZY,token_similarity
