winerim_agora_id,winerim_product_name,winerim_family,status,score,method,legacy_agora_id,legacy_name,legacy_family,duplicates
763652,B Neolitic de Sumoll,TINTOS WINERIM,MATCH,92,CONTAINS,80,NEOLITIC,PENEDES,0
763650,B Nerola Tinto,TINTOS WINERIM,NO_MATCH,60,FUZZY,80,NEOLITIC,PENEDES,0
765200,B Notes de Negre,TINTOS WINERIM,NO_MATCH,71,FUZZY,218,NOTES DE BLANC,VI BLANC,0
764500,B Orbus,TINTOS WINERIM,MATCH,100,EXACT,105,ORBUS,ALELLA,0
764543,B PSI,TINTOS WINERIM,MATCH,100,EXACT,153,PSI,RIBERA DUERO,2
769705,B PSI 705,TINTOS WINERIM,NO_MATCH,60,FUZZY,153,PSI,RIBERA DUERO,0
764532,B Pago de Carraovejas,TINTOS WINERIM,MATCH,100,EXACT,142,PAGO DE CARRAOVEJAS,RIBERA DUERO,0
763647,B Pas Curtei,TINTOS WINERIM,MATCH,100,EXACT,74,PAS CURTEI,PENEDES,0
764497,B Perafita,TINTOS WINERIM,MATCH,92,CONTAINS,99,PERAFITA NEGRE,EMPORDA COSTA BRAVA,2
765658,B Peraj Ha'abib,TINTOS WINERIM,NO_MATCH,0,,,,,0
763410,B Perinet,TINTOS WINERIM,MATCH,92,CONTAINS,20,MAS PERINET,PRIORAT,0
765632,B Perinet Vinya Mas Vell,TINTOS WINERIM,NO_MATCH,0,,,,,0
767217,B Perinet Vinya Mas Vell 217,TINTOS WINERIM,NO_MATCH,0,,,,,0
769706,B Pesquera Crianza,TINTOS WINERIM,MATCH,94,FUZZY,139,PESQUERA CRIANÇA,RIBERA DUERO,0
763658,B Petit Saó,TINTOS WINERIM,MATCH,100,EXACT,87,PETIT SAO,COSTERS SEGRE,0
763644,B Petrea Merlot,TINTOS WINERIM,MATCH,92,CONTAINS,70,PETREA,PENEDES,0
763425,B Predicat,TINTOS WINERIM,MATCH,100,EXACT,30,PREDICAT,PRIORAT,0
764524,B Propiedad,TINTOS WINERIM,MATCH,100,EXACT,132,PROPIEDAD,RIOJA,0
764527,B Protos,TINTOS WINERIM,MATCH,92,CONTAINS,134,PROTOS RESERVA,RIBERA DUERO,2
764526,B Protos Reserva,TINTOS WINERIM,MATCH,100,EXACT,134,PROTOS RESERVA,RIBERA DUERO,0
764501,B Remelluri Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,110,REMELLURI,RIOJA,0
764502,B Remírez de Ganuza Reserva,TINTOS WINERIM,REVIEW,76,FUZZY,111,RAMIREZ DE GANUZA,RIOJA,0
763657,B Saó Abrivat,TINTOS WINERIM,MATCH,100,EXACT,86,SAO ABRIVAT,COSTERS SEGRE,0
769702,B Saó Abrivat 702,TINTOS WINERIM,MATCH,92,CONTAINS,86,SAO ABRIVAT,COSTERS SEGRE,0
763396,B Scala Dei Negre,TINTOS WINERIM,MATCH,92,CONTAINS,7,SCALA DEI,PRIORAT,0
765642,B Scala Dei Negre 642,TINTOS WINERIM,MATCH,92,CONTAINS,7,SCALA DEI,PRIORAT,0
769696,B Selección Especial Masía Freye,TINTOS WINERIM,NO_MATCH,0,,,,,0
769686,B Serres Velles Garnatxa Negra,TINTOS WINERIM,NO_MATCH,0,,,,,0
765294,B Sierra Cantabria Crianza,TINTOS WINERIM,MATCH,92,CONTAINS,109,SIERRA CANTABRIA,RIOJA,0
765230,B Sindicat La Figuera,TINTOS WINERIM,MATCH,91,FUZZY,33,SINDICAT FIGUERA,MONTSANT,0
775946,B Sindicat la Figuera Garnatxa Fina,TINTOS WINERIM,REVIEW,73,FUZZY,216,SINDICAT FIGUERA ROSAT,VI ROSAT,0
765654,B Solanes,TINTOS WINERIM,NO_MATCH,62,FUZZY,516,Icones,VI BLANC,0
764489,B Solergibert Merlot Reserva,TINTOS WINERIM,NO_MATCH,0,,,,,0
775954,B Sotabosc,TINTOS WINERIM,MATCH,100,EXACT,514,Sotabosc,PLA DE BAGES,0
763429,B Teixar,TINTOS WINERIM,MATCH,100,EXACT,36,TEIXAR,MONTSANT,0
769712,B Tionio Reserva,TINTOS WINERIM,NO_MATCH,71,FUZZY,134,PROTOS RESERVA,RIBERA DUERO,0
769707,B Valdubón Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,144,Valdubon,RIBERA DUERO,0
763620,B Venus,TINTOS WINERIM,MATCH,100,EXACT,40,VENUS,MONTSANT,0
767291,B Venus  291,TINTOS WINERIM,MATCH,92,CONTAINS,40,VENUS,MONTSANT,0
